number,type,answer_num,description,answers,pic_path,correct,weight,subject,accesebility
1,3,0,"Сложные аппаратно-программные многопроцессорные и многомашинные комплексы, обладающие наивысшей на данный момент производительностью и работающие, обычно, под управлением специально выделенной ЭВМ, часто называют ...",супер-ЭВМ;суперЭВМ;,no,0,5,1,0
2,5,6,Сопоставьте поколения ЭВМ и их отличительные особенности (Б.Я.Цилькер) ,"ЭВМ четвертого поколения;ИМС;ЭВМ третьего поколения;БИС, СБИС;ЭВМ пятого поколения;Совокупность большого числа ЭВМ;ЭВМ шестого поколения;Большое число параллельно работающих ПР;ЭВМ второго поколения;Электронные лампы;ЭВМ первого поколения;Диоды, катушки индуктивности;",no,112233445566,7,1,0
3,3,0,Совокупность аппаратных средств (включающих в себя несколько процессоров или несколько ЭВМ) и программного обеспечения  называется ...  ,вычислительной системой;ВС;вычислительная система;,no,0,5,1,0
5,1,9,Перечислите основные характеристики вычислительной системы,габариты;диапазон рабочих температур;ремонтопригодность;время ответа;надежность;стоимость;потребляемая мощность.;производительность.;масса.;,no,4;5;6;8;,5,1,0
5,1,10,Выделите дополнительные характеристики вычислительной системы ,производительность;надежность;стоимость;габариты;потребляемая мощность.;ремонтопригодность;цвет;масса;диапазон рабочих температур;время ответа.;,no,4;5;6;7;8;9;,7,1,0
6,3,0,"Характеристика вычислительной системы, определяющая количество вычислительной работы, выполняемой системой за единицу времени (одним словом)",производительность;,no,0,5,1,0
7,3,0,Свойство системы выполнять возложенные на нее функции в заданных условиях функционирования с заданными показателями качества (одним словом),надежность;надёжность;,no,0,5,1,0
8,2,7,"Наиболее эффективной оценкой производительности ЭВМ, специализированной для выполнения операций над числами с плавающей запятой, является ее оценка в:",MOPS;FPS;Hz;MIPS.;KFLOPS;MFLOPS;FLOPS;,no,1:0;2:0;3:0;4:0;5:50;6:75;7:100;,6,11,0
9,2,5,Отношение среднего времени наработки на отказ (То) к сумме среднего времени наработки на отказ и среднего времени восстановления (То + Тв) называется ...,интенсивностью отказов;ремонтопригодностью;производительностью системы;динамическим коэффициентом готовности.;статическим коэффициентом готовности;,no,1:0;2:0;3:0;4:0;5:100;,6,11,1
10,2,6,Кто автор закона:  S=f+(1-f)*n ? (f - доля последовательных операций),Горнер;Грош;Крей;Флин;Амдал.;Густафсон;,no,1:0;2:0;3:0;4:0;5:0;6:100;,6,1,0
11,3,0,Описание конечной последовательности действий по преобразованию исходных данных в выходные результаты называют...,алгоритмом;алгоритм;,no,0,5,2,0
12,4,6,Расположите уровни параллелизма в порядке убывания гранулярности (вложенности).,Задания;Задачи;Циклы;Процедуры;Макрокоманды;Команды;,no,123456,6,1,0
13,2,5,Операции Ор3  и  Ор6 находятся в отношении ...,функциональной зависимости;зависимости по управлению;зависимости по данным;безразличия;предшествования;,1.bmp,1:0;2:0;3:0;4:0;5:100;,5,2,0
14,3,0,Операторы  Ор2 и Ор5 находятся в отношении  ... .,предшествования;,1.bmp,0,5,2,0
15,2,5,Функциональная модель вычислений известна также как метод...,Вызова по значению;Вызова по ссылке;Управления потоком данных;Управления потоком команд;Управления потоком запросов;,no,1:0;2:0;3:0;4:0;5:100;,9,3,1
16,2,5,"Механизм, предполагающий непосредственную передачу отдельных копий полученного значения во все команды, где он используется, называется механизмом",Вызова по ссылке;Управления потоком запросов;Управления потоком команд;Вызова по значению;Управления потоком данных.;,no,1:0;2:0;3:0;4:100;5:0;,8,3,1
17,2,5,Если выходные результаты различных процедур используются для выполнения последующих примитивных операций – это параллелизм независимых ...,задач;циклов;ветвей;вершин.;подзадач;,2.bmp,1:0;2:0;3:100;4:0;5:50;,6,2,0
18,5,4,Выполните сопоставления,"Тип данных;числа, символы, логические переменные и сигналы;Размерность задачи;количество исходных данных, сложность алгоритма;Сложность алгоритма;суммарное число примитивных операций;Сложность вычислений;размерность задачи и сложность алгоритма;",no,11223344,5,1,0
19,5,5,Сопоставьте основные характеристики СМО и их определения ,"длина очереди;число заявок, ожидающих обслуживания;время ожидания заявки;время от поступления заявки в СМО до начала обслуживания;время пребывания заявки в системе;время от поступления до окончания обслуживания заявки;загрузка системы;среднее по времени число каналов, занятых обслуживанием заявок;число заявок, находящихся в системе;заявок в очереди и на обслуживании в каналах;",no,1122334455,6,1,0
21,1,9,"Выберите ВС, в которых реализованы  решётчатые топологии (их различные варианты)",Cray T3D;CM-5;KSR1;ILLIAC IV;MPP;CM-2;Paragon;Cray-1;SuperDome;,no,1;2;3;4;5;6;7;,7,10,0
22,3,0,"Определите топологию сети, приведенную на рисунке:",тороидальная топология;тор;тороидальная;,mp2.bmp,0,6,10,0
23,3,0,В сетях с ........ топологией в процессе вычислений конфигурация взаимосвязей  может быть оперативно изменена с помощью программных средств.,динамической;динамическая;динамическими;,no,0,5,10,0
24,2,5,Как называется организация внутренних коммуникаций вычислительной системы?,архитектура;шлюзы;бисекция;топология;протокол соединений.;,no,1:0;2:0;3:0;4:100;5:0;,5,10,0
25,1,6,Какие из перечисленных элементов могут выполнять роль терминалов в динамической сети?,устройства ввода/вывода;блоки памяти;процессоры;процессоры и блоки памяти;блоки памяти и УВВ;каналы;,no,2;3;4;,5,10,0
26,1,8,Для каких из перечисленных топологий число связей равно (N - 1)?,Полносвязная;Кольцо;Двумерная решетка;Гиперкуб;Двоичное дерево;Линейная;Звездообразная;Витой тор;,no,2;5;6;7;,6,10,0
26,1,11,"Выберите основные функции маршрутизации данных, применяемые в известных динамических топологиях.","Конъюнкция битов;Сеть WAT I;Функция ""Баньян"";Дизъюнкция битов;Перестановка;Сеть ILLIAC IV;Функция Баттерфляй;Циклический сдвиг;Тасование;Реверсирование битов;Сдвиг;",no,4;5;6;7;8;9;10;11;,10,10,0
28,3,0,"Топология ВС, приведенная на рисунке - ...",кольцо;кольцевая топология;кольцевая;,mp14.bmp,0,4,10,0
